,Title,Budget,Revenue,Rating
489,All Is Bright,,"$4,556",5.6
490,The Single Moms Club,"$8,000,000 (estimated)","$16,365,451",5.5
491,Howling II: ... Your Sister Is a Werewolf,,,3.7
492,Star Trek IV: The Voyage Home,"$25,000,000 (estimated)","$109,713,132",7.3
493,Asal Kau Bahagia,"IDR 10,000,000,000 (estimated)",,7.9
494,Submarino,,"$815,998",7.5
495,Lifeboat,"$1,590,000 (estimated)",,7.6
496,Cast Away,"$90,000,000 (estimated)","$429,632,142",7.8
497,I See You,"$3,000,000 (estimated)","$1,194,369",6.8
498,Leave Her to Heaven,,,7.6
499,All the Pretty Horses,"$57,000,000 (estimated)","$18,133,495",5.8
500,Kingsman: The Secret Service,"$81,000,000 (estimated)","$414,351,546",7.7
501,Look Who's Talking,"$7,500,000 (estimated)","$296,999,813",5.9
502,Clean Hands,,"$1,157,963",6.3
503,"Bob Ross: Happy Accidents, Betrayal & Greed",,,6.9
504,The Ant Bully,"$50,000,000 (estimated)","$55,181,129",5.8
505,You Are the Apple of My Eye,"NT$50,000,000 (estimated)","$29,917,154",7.6
506,The Quiet Man,"$1,750,000 (estimated)",,7.7
507,Jumpin' Jack Flash,,"$29,844,101",5.9
508,The Chaser,"$2,650,000 (estimated)","$36,495,748",7.8
509,Witching and Bitching,,"$7,422,695",6.4
510,A Simple Favor,"$20,000,000 (estimated)","$97,644,617",6.8
511,The Man with the Iron Heart,"€27,800,000 (estimated)","$4,412,639",6.4
512,Down Terrace,"$30,000 (estimated)","$9,812",6.4
513,Zama,,"$489,692",6.7
514,Million Dollar Mermaid,,,6.5
515,1920: Evil Returns,,,4.9
516,Memento Mori (TV Serie,,,6.4
517,The Way Ahead,,,6.9
518,Deli Deli Olma,"$2,000,000 (estimated)","$614,899",7.5
519,Montevideo: Taste of a Dream,,"$2,192,931",8.1
520,Seven Pounds,"$55,000,000 (estimated)","$169,748,929",7.6
521,Theodora Goes Wild,,,7.1
522,Cardboard Boxer,"$10,000,000 (estimated)",,6.3
523,Cellular,"$25,000,000 (estimated)","$57,678,321",6.5
524,Dirty Dancing,"$6,000,000 (estimated)","$214,577,242",7.0
525,The Storyteller (TV Series 198,,,8.8
526,Bastard Out of Carolina,,,7.3
527,Whitey: United States of America v. James J. Bulger,,"$75,881",6.7
528,Oosaravelli,"₹350,000,000 (estimated)",,6.5
529,King Lear (TV Movi,,,6.2
530,Werewolves Within,,"$991,898",6.0
531,Pellet,,"$100,957",7.3
532,The Stepfather,"$20,000,000 (estimated)","$31,198,531",5.6
533,We're Not Married!,,,6.4
534,Careful What You Wish For,"$8,000,000 (estimated)","$82,230",5.6
535,The Antisocial Network: Memes to Mayhem,,,6.3
536,Great Balls of Fire!,"$16,000,000 (estimated)","$13,741,060",6.3
537,Miss Conception,"€6,000,000 (estimated)","$569,206",4.6
538,Once Upon a Time in Vietnam,"₫20,000,000,000 (estimated)",,5.2
539,Jumanji: The Next Level,"$125,000,000 (estimated)","$801,693,929",6.7
540,The Assignment,"$5,000,000 (estimated)","$388,789",4.7
541,"Angus, Thongs and Perfect Snogging",,"$14,926,344",6.3
542,Stratosphere Girl,,,6.3
543,Late Marriage,,"$1,868,298",7.1
544,Juno,"$7,500,000 (estimated)","$232,372,830",7.4
545,The Tiger of Eschnapur,"DEM 4,000,000 (estimated)","$4,673",6.6
546,What's in a Name?,,"$31,303,580",7.3
547,Plane,,"$74,515,586",6.5
548,Auto Focus,"$7,000,000 (estimated)","$2,704,951",6.6
549,Greenfingers,"£1,365,000 (estimated)","$1,961,054",6.8
550,Dead Air,,,5.2
551,The Matrix Resurrections,"$190,000,000 (estimated)","$157,386,805",5.7
552,Pushing Tin,"$33,000,000 (estimated)","$8,408,835",6.0
553,When We First Met,"$9,500,000 (estimated)",,6.4
554,The Waiting List,,,7.0
555,The Other Woman,"$40,000,000 (estimated)","$196,710,396",6.0
556,The Wrestler,"$6,000,000 (estimated)","$44,734,660",7.9
557,Ernest Saves Christmas,"$6,500,000 (estimated)","$28,202,109",5.7
558,Untamed Heart,"$7,500,000 (estimated)","$18,898,806",6.8
559,The Geisha Boy,,,6.4
560,Atlas Shrugged: Who Is John Galt?,"$5,000,000 (estimated)","$846,704",4.3
561,Multiple Maniacs,"$5,000 (estimated)","$39,025",6.5
562,The Broadway Melody,"$379,000 (estimated)",,5.6
563,Ondine,"$12,000,000 (estimated)","$1,790,061",6.8
564,The Rocketeer,"$35,000,000 (estimated)","$46,704,906",6.6
565,Brighton Beach Memoirs,"$18,000,000 (estimated)","$11,957,943",6.8
566,Finding Your Feet,"£5,400,000 (estimated)","$15,775,555",6.7
567,Time Trap,"$1,000,000 (estimated)",,6.2
568,Manjhi: The Mountain Man,"₹80,000,000 (estimated)",,8.0
569,Life as a House,"$27,000,000 (estimated)","$23,903,791",7.4
570,Regular Show: The Movie,"$3,000,000 (estimated)",,7.4
571,Secondhand Lions,"$30,000,000 (estimated)","$48,260,279",7.5
572,PCU,"$8,000,000 (estimated)","$4,330,020",6.5
573,Pygmalion,"£87,000 (estimated)",,7.7
574,Another Stakeout,,"$20,208,496",5.6
575,Patsy Lee & the Keepers of the 5 Kingdoms,,,
576,Duane Hopwood,,"$13,510",6.5
577,Speak No Evil,,,
578,The Dog Problem,,"$1,344",6.2
579,An American Werewolf in London,"$10,000,000 (estimated)","$30,800,631",7.5
580,My Dog Skip,"$6,000,000 (estimated)","$35,547,761",7.0
581,Wild Strawberries,,"$60,418",8.1
582,The Twilight Saga: Eclipse,"$68,000,000 (estimated)","$698,513,085",5.1
583,One Missed Call,"$20,000,000 (estimated)","$45,847,751",4.0
584,The Midnight After,,"$2,734,866",5.5
585,Color Me Kubrick,,"$497,009",6.1
586,Ninnu Kori,,"$149,229",7.5
587,Ice Age: Continental Drift,"$95,000,000 (estimated)","$877,244,782",6.5
588,This Means War,"$65,000,000 (estimated)","$156,491,279",6.3
589,Anchors Aweigh,,,7.0
590,Act of Valor,"$12,000,000 (estimated)","$82,499,399",6.4
591,Perfect Creature,"$20,000,000 (estimated)","$1,012,639",5.4
592,Rammbock: Berlin Undead,,"$12,699",6.3
593,Bicycle Thieves,"$133,000 (estimated)","$450,159",8.3
594,Seven Days to Noon,,,7.0
595,Torque,"$40,000,000 (estimated)","$46,546,197",4.1
596,Jug Face,,,5.3
597,Howling V: The Rebirth,,,4.4
598,August: Osage County,"$25,000,000 (estimated)","$74,188,937",7.2
599,Çakallarla Dans,,"$1,343,905",5.6
600,Somebody Feed Phil (TV Series ,,,8.3
601,House of D,"$6,000,000 (estimated)","$389,866",6.8
602,The Children of Noisy Village,,,6.7
603,The Cutting Edge: The Magic of Movie Editing,,,7.7
604,Miracle in the Rain,,,7.1
605,The Moon-Spinners,"$5,000,000 (estimated)",,6.5
606,The Timber,"$2,100,000 (estimated)",,4.4
607,The Perfect Holiday,"$20,000,000 (estimated)","$5,812,781",4.8
608,Before the Flood,,$988,8.2
609,Capricious Summer,,,6.9
610,Pokkiri,"₹185,000,000 (estimated)",,7.5
611,Fukssvansen,,,5.9
612,Dr. Cyclops,,,6.4
613,The Human Stain,"$30,000,000 (estimated)","$22,954,068",6.2
614,Gascoigne,"$1,000,000 (estimated)",,7.0
615,Angélique,,"$996,304",6.1
616,The Anderson Tapes,"$3,000,000 (estimated)",,6.4
617,The Burning,"$1,500,000 (estimated)",,6.3
618,Nosferatu the Vampyre,,"$2,874",7.4
619,T2 Trainspotting,"$18,000,000 (estimated)","$41,681,746",7.2
620,Bigger Than Life,"$1,000,000 (estimated)",,7.4
621,The Twilight Saga: New Moon,"$50,000,000 (estimated)","$711,048,123",4.8
622,Promise Me This,,"$2,043,351",6.9
623,Billa,"₹250,000,000 (estimated)",,6.1
624,Make Mine Mink,,,7.0
625,Multiplicity,"$45,000,000 (estimated)","$21,075,014",6.1
626,Olga Dies Dreaming (TV ,,,
627,The Do-Deca-Pentathlon,,"$10,000",5.9
628,Senseless,"$15,000,000 (estimated)","$12,874,899",6.0
629,Jack Ryan: Shadow Recruit,"$60,000,000 (estimated)","$135,503,748",6.2
630,Pépé le Moko,"$60,000 (estimated)","$155,895",7.7
631,The Ages of Lulu,,,5.5
632,Sirius the Jaeger (TV Serie,,,6.7
633,The Book Thief,"$19,000,000 (estimated)","$76,586,316",7.5
634,The Raid: Redemption,"$1,100,000 (estimated)","$9,110,461",7.6
635,"What Happened, Miss Simone?",,,7.6
636,Ballast,"$700,000 (estimated)","$81,864",6.9
637,Post Grad,"$15,000,000 (estimated)","$6,414,729",5.3
638,The Assassination of Jesse James by the Coward Robert Ford,"$30,000,000 (estimated)","$15,003,764",7.5
639,Mrs. Doubtfire,"$25,000,000 (estimated)","$441,286,195",7.1
640,The Vexxer,,"$7,578,307",6.2
641,City of Life and Death,"$12,000,000 (estimated)","$10,687,316",7.7
642,Hellraiser,"£1,000,000 (estimated)","$14,575,526",6.9
643,Crime & Punishment (TV Movi,,,7.4
644,Pure Country,"$10,000,000 (estimated)","$15,164,458",7.1
645,Housefull 3,,"$17,014,507",4.9
646,Enemy of the State,"$90,000,000 (estimated)","$250,849,789",7.3
647,Shark in Venice,,,2.5
648,Jesse Stone: Thin Ice (TV Movi,,,7.1
649,Southland Tales,"$17,000,000 (estimated)","$374,743",5.3
650,Bloomington,,,5.8
651,The Legend of Bhagat Singh,,,8.1
652,Jigarthanda Double X,,"$279,408",8.1
653,The Cooler,"$3,200,000 (estimated)","$10,464,788",6.9
654,Lebanon,,"$1,286,008",6.9
655,Black Lagoon: Roberta's Blood Trail (TV Mini Series 201,,,7.7
656,The Next Karate Kid,"$12,000,000 (estimated)","$15,876,353",4.5
657,The Life Before Her Eyes,"$13,000,000 (estimated)","$7,248,490",6.2
658,A Self-Made Hero,"FRF 29,000,000 (estimated)",,7.2
659,Sakuran,"$3,000,000 (estimated)","$6,247,539",6.7
660,Freaks of Nature,,"$70,958",5.9
661,Beyond the Poseidon Adventure,"$10,000,000 (estimated)",,4.7
662,It Started with Eve,"$1,166,000 (estimated)",,7.6
663,How to Be Single,"$38,000,000 (estimated)","$112,543,513",6.1
664,When We Leave,,"$1,338,132",7.5
665,Knock on Wood,,,6.7
666,Angels Crest,,"$2,037",5.7
667,To All the Boys: P.S. I Still Love You,,,6.1
668,Seven Years in Tibet,"$70,000,000 (estimated)","$131,457,682",7.1
669,Silverado,"$26,000,000 (estimated)","$32,192,570",7.2
670,The Cobbler,,"$6,501,058",5.8
671,Megan Is Missing,,,4.6
672,Young Sherlock Holmes,"$18,000,000 (estimated)","$19,739,575",6.8
673,Elizabeth,"$30,000,000 (estimated)","$82,150,642",7.4
674,1969,"$7,000,000 (estimated)","$5,979,011",5.7
675,Gun Hill Road,,"$148,994",6.5
676,The Adventures of Baron Munchausen,"$46,630,000 (estimated)","$8,083,123",7.1
677,Tonight You're Sleeping with Me,,,3.8
678,I Like Killing Flies,,"$16,214",7.3
679,Project X,"$12,000,000 (estimated)","$102,731,865",6.7
680,My Mother's Castle,,"$1,477,071",7.6
681,Red Tails,"$58,000,000 (estimated)","$50,365,498",5.9
682,Flightplan,"$55,000,000 (estimated)","$223,387,299",6.3
683,Santa Claus Is a Stinker,,,7.5
684,Knockaround Guys,,"$12,806,614",6.1
685,Out in the Dark,,"$66,017",7.5
686,Mischief,,"$8,692,426",6.5
687,Dateline: Secrets Uncovered (TV Series 201,,,7.8
688,Serena,"$30,000,000 (estimated)","$5,092,129",5.4
689,Band of Robbers,,"$20,555",6.0
690,The Exorcism of Molly Hartley (Vide,,,4.6
691,Dracula 2000,"$54,000,000 (estimated)","$47,053,625",4.9
692,2016: Obama's America,"$2,500,000 (estimated)","$33,449,086",4.8
693,"I, Robot","$120,000,000 (estimated)","$353,133,898",7.1
694,Perfect Days,,"$24,094,016",7.9
695,Active Measures,,"$19,862",7.7
696,Julie and the Phantoms (TV Serie,,,8.4
697,Three Wise Men and a Baby (TV Movi,,,7.6
698,Goodnight Mommy,,,5.7
699,Cult of Chucky,,,5.3
700,Nightmare City,,,5.6
701,Watchmen,"$130,000,000 (estimated)","$185,382,813",7.6
702,Farouk Omar (TV Serie,,,9.3
703,Jacob's Ladder,"$25,000,000 (estimated)","$26,118,851",7.4
704,84 Charing Cross Road,,"$1,083,486",7.4
705,Brotherhood of the Wolf,"$29,000,000 (estimated)","$70,767,418",7.0
706,The Bedford Incident,,,7.3
707,Madras Cafe,"₹350,000,000 (estimated)","$38,333",7.6
708,Daddy Day Care,"$60,000,000 (estimated)","$164,433,867",5.6
709,Music from Another Room,,"$118,475",6.3
710,Door on the Left as You Leave the Elevator,,,6.6
711,Bachelorette,"$3,000,000 (estimated)","$12,128,575",5.3
712,Bambai Meri Jaan (TV Series ,,,7.4
713,Friends: The Reunion (TV Specia,,,8.0
714,Drumline,"$20,000,000 (estimated)","$57,588,485",5.9
715,Home on the Range,"$110,000,000 (estimated)","$145,358,062",5.4
716,Hangman,,,5.2
717,Bungee Jumping of Their Own,,,6.9
718,Barbarian: The Ultimate Warrior (Video Gam,,,6.6
719,Shockproof,,,6.5
720,High Tension,"€2,200,000 (estimated)","$6,291,958",6.7
721,Heroes for Sale,"$290,000 (estimated)",,7.4
722,Saving Mr. Banks,"$35,000,000 (estimated)","$117,867,984",7.5
723,Breakfast with Scot,,"$46,060",6.8
724,Limitless,"$27,000,000 (estimated)","$161,849,455",7.4
725,The Purge: Election Year,"$10,000,000 (estimated)","$118,587,880",6.0
726,Tristan + Isolde,,"$28,047,963",6.8
727,The Merry Widow,,"$6,014,620",7.2
728,Ladies vs. Ricky Bahl,,"$328,870",6.0
729,Thor: Ragnarok,"$180,000,000 (estimated)","$855,301,806",7.9
730,Begin the Beguine,"ESP 40,000,000 (estimated)",,6.9
731,Gigi & Nate,,"$2,280,814",6.7
732,Road to Zanzibar,,,6.7
733,Bor,"$5,000,000 (estimated)",,
734,Ya i Felix,"UAH 11,998,592 (estimated)",,7.8
735,Blockers,"$21,000,000 (estimated)","$94,019,120",6.2
736,Birds of Prey,"$84,500,000 (estimated)","$205,537,933",6.1
737,Never Let Me Go,"$15,000,000 (estimated)","$9,918,093",7.1
738,The Dark Mirror,,,7.1
739,Better Off Dead,,"$10,297,601",7.1
740,"Goodbye South, Goodbye",,,7.2
741,God Bless America,,"$393,880",7.1
742,Call the Midwife (TV Series ,,,8.6
743,Soul Food,"$7,500,000 (estimated)","$43,700,855",7.0
744,The Midnight Meat Train,"$15,000,000 (estimated)","$3,534,313",6.0
745,Liegen lernen,,"$1,764,411",6.8
746,Island of Terror,,,6.1
747,The Crying Game,"£2,300,000 (estimated)","$62,548,947",7.2
748,Parker,"$35,000,000 (estimated)","$46,922,566",6.2
749,Jaws,"$7,000,000 (estimated)","$477,220,580",8.1
750,The Reivers,"$5,000,000 (estimated)",,6.6
751,One from the Heart,"$26,000,000 (estimated)","$692,956",6.5
752,Dirty Love,,"$36,099",3.5
753,Way of the Wicked,"$3,000,000 (estimated)",,3.8
754,Diamond Dogs,,,4.1
755,Unfaithful,"$50,000,000 (estimated)","$119,137,784",6.7
756,Cannibal Holocaust,"$100,000 (estimated)",,5.8
757,The Creature Walks Among Us,,,5.6
758,Still of the Night,"$10,000,000 (estimated)","$5,979,947",6.0
759,All Ladies Do It,,,5.2
760,Salvation Boulevard,"$5,500,000 (estimated)","$89,182",5.3
761,The Tall Blond Man with One Black Shoe,,,7.2
762,The Sum of Us,"A$3,465,000 (estimated)","$766,464",7.3
763,The Last Frontier (TV ,,,
764,Operation Fortune: Ruse de Guerre,"$50,000,000 (estimated)","$48,983,306",6.3
765,True Believer,,"$8,742,750",6.7
766,Sweetheart (TV Serie,,,7.9
767,Skyscraper,"$125,000,000 (estimated)","$304,870,828",5.8
768,Alone with Her,"$1,000,000 (estimated)","$1,677,967",6.0
769,The Hidden Blade,,"$8,043,781",7.7
770,Wayne's World,"$20,000,000 (estimated)","$183,097,323",7.0
771,Tic Tac,,,6.7
772,Top Hat,"$609,000 (estimated)","$13,592",7.7
773,Human Capital,"€6,000,000 (estimated)","$9,113,941",7.2
774,Amy's Orgasm,"$500,000 (estimated)","$119,664",5.3
775,Spring in a Small Town,,,7.3
776,The Deep Blue Sea,,"$3,143,514",6.2
777,The Gravedancers,,"$478,535",5.4
778,The Birdcage,"$31,000,000 (estimated)","$185,260,553",7.2
779,Jodi Breakers,,"$78,024",3.6
780,Bukkene Bruse på Badeland,,"$4,082,914",4.8
781,Lights Out,"$4,900,000 (estimated)","$149,368,835",6.3
782,The God Who Wasn't There,,,6.9
783,Spread,,"$12,035,862",5.8
784,Little Death,,,5.5
785,Rob Roy,"$28,000,000 (estimated)","$31,596,911",6.9
786,Green for Danger,"$1,000,000 (estimated)",,7.4
787,Garage Days,"$6,000,000 (estimated)","$716,888",5.8
788,Open Roads (Video Gam,,,6.4
789,Main Prem Ki Diwani Hoon,"₹300,000,000 (estimated)","$6,290,342",3.8
790,Midnight Express,"$2,300,000 (estimated)","$35,000,000",7.5
791,The Devil-Doll,,,7.0
792,Bleach: Memories of Nobody,,"$1,238,072",7.1
793,Rocket Gibraltar,"$3,000,000 (estimated)","$187,349",6.5
794,The White Haired Witch of Lunar Kingdom,,"$62,515,046",5.3
795,Nobel Son,"$4,000,000 (estimated)","$550,782",6.1
796,Common Ground,,"$265,959",8.9
797,Semum,"$1,200,000 (estimated)","$1,827,047",5.0
798,The Seasoning House,"£850,000 (estimated)",,6.1
799,Eddie and the Cruisers II: Eddie Lives!,,"$536,508",6.2
800,Being Julia,"$18,000,000 (estimated)","$14,339,171",7.0
801,Kramer vs. Kramer,"$8,000,000 (estimated)","$106,260,000",7.8
802,The City of Lost Souls,"¥2,000,000 (estimated)",,6.3
803,Vampire Hunter D: Bloodlust,,"$151,086",7.6
804,The Final Terror,,,5.2
805,The Prince of Egypt,"$70,000,000 (estimated)","$218,613,188",7.2
806,Summer in February,"£5,000,000 (estimated)","$605,403",5.6
807,The Nanny Diaries,"$20,000,000 (estimated)","$47,817,020",6.2
808,FX2: Visual Effects (Vide,,,5.8
809,Rushmore,"$9,000,000 (estimated)","$17,197,718",7.6
810,First Born,,,4.7
811,The Grand Highway,,,7.3
812,Seeking True Love,,"$4,873,745",7.5
813,The City of Lost Children,"$18,000,000 (estimated)","$1,782,162",7.5
814,Restraint,,,6.0
815,The Cabin in the Woods,"$30,000,000 (estimated)","$70,038,838",7.0
816,Beyond Rangoon,"$23,000,000 (estimated)","$5,750,110",6.5
817,Sniper. The White Raven,"€997,800 (estimated)","$6,105",6.4
818,Paper Man,,"$13,514",6.5
819,Wing Chun,,,6.9
820,Standing in the Shadows of Motown,,"$2,344,256",7.8
821,Think Like a Man Too,"$24,000,000 (estimated)","$70,181,428",5.7
822,The Possession of Michael King,,"$2,405,143",5.7
823,Plaza Suite,,,6.5
824,Sabotage,"$35,000,000 (estimated)","$22,126,842",5.7
825,Los Bandoleros (Vide,,,5.6
826,Smooth Talk,"$2,400,000 (estimated)","$16,785",6.5
827,Stand Up Guys,"$15,000,000 (estimated)","$5,072,654",6.4
828,No Men Beyond This Point,,,6.3
829,Sicko,"$9,000,000 (estimated)","$36,163,768",8.0
830,Kadosh,,"$770,132",6.9
831,Breakin' All the Rules,"$10,000,000 (estimated)","$12,544,254",5.6
832,Zoom In (TV Series ,,,8.7
833,The Golden Era,,"$8,429,476",6.4
834,Victor Frankenstein,"$65,000,000 (estimated)","$34,227,298",5.9
835,French Cancan,,"$10,799",7.3
836,City in the Sea,,,5.3
837,Home for the Holidays,"$20,000,000 (estimated)","$17,519,169",6.6
838,Burden of Dreams,,,7.9
839,Faith Like Potatoes,"ZAR 10,000,000 (estimated)",,6.7
840,Husk,"$382,262 (estimated)",,5.1
841,Evilenko,"$9,700,000 (estimated)","$87,760",6.2
842,Superbad,"$20,000,000 (estimated)","$170,812,574",7.6
843,Men in the City,,"$22,420,615",6.3
844,All That Jazz,"$12,000,000 (estimated)","$37,824,824",7.8
845,A Madea Christmas,"$25,000,000 (estimated)","$53,396,635",5.0
846,The Nasty Girl,,"$2,293,625",7.3
847,The Gay Divorcee,"$520,000 (estimated)","$6,253",7.4
848,The Confessional,,,6.3
849,Lift,,,5.5
850,Let's Be Cops,"$17,000,000 (estimated)","$138,224,951",6.4
851,Hidden 3D,"$8,000,000 (estimated)","$1,670,477",3.3
852,Hemlock Society,,,7.5
853,The Jesus Film,"$6,000,000 (estimated)",,7.1
854,Guess Who's Coming to Dinner,"$4,000,000 (estimated)","$56,666,797",7.8
855,Under the Yum Yum Tree,,,6.0
856,Toy Story 2,"$90,000,000 (estimated)","$497,375,381",7.9
857,Velaikkaran,,"$569,727",7.2
858,Waking Madison,"$3,500,000 (estimated)",,5.5
859,Eagle Eye,"$80,000,000 (estimated)","$178,767,383",6.6
860,Three Identical Strangers,,"$13,448,497",7.6
861,The Rains Came,"$2,600,000 (estimated)",,6.8
862,Sherlock Holmes: A Game of Shadows,"$125,000,000 (estimated)","$543,848,418",7.4
863,The Age of Shadows,"$8,620,000 (estimated)","$54,491,162",7.1
864,Back to School,"$11,000,000 (estimated)","$91,258,000",6.7
865,Three Little Birds (TV Mini Serie,,,7.0
866,India Song,"FRF 254,542 (estimated)","$9,308",6.1
867,Terror of Mechagodzilla,,,6.1
868,Bird People,"€6,500,000 (estimated)","$866,211",6.1
869,,,,
870,Toni Erdmann,"€3,000,000 (estimated)","$11,784,207",7.3
871,Weather Report Girl (TV Mini Serie,,,6.3
872,Chinese Zodiac,,"$171,339,013",6.0
873,Take This Waltz,,"$4,965,950",6.5
874,War of the Colossal Beast,,,3.9
875,V for Vendetta,"$54,000,000 (estimated)","$134,686,457",8.2
876,Sleeping with the Enemy,"$19,000,000 (estimated)","$174,999,005",6.3
877,Armed Response,,"$52,036",3.7
878,Ah! My Goddess: The Movie,,,6.9
879,Vampire's Kiss,"$2,000,000 (estimated)","$726,628",6.1
880,The Rapture,,"$1,277,404",6.3
881,The Pelican Brief,"$45,000,000 (estimated)","$195,268,056",6.6
882,Arthur and the Revenge of Maltazard,"€65,000,000 (estimated)","$52,377,611",5.2
883,Get Out,"$4,500,000 (estimated)","$255,751,443",7.8
884,Miss Nobody,,"$90,647",5.5
885,Vacation,"$15,000,000 (estimated)","$61,418,362",7.3
886,The Terminator,"$6,400,000 (estimated)","$78,371,200",8.1
887,"Hello, Dolly!","$25,000,000 (estimated)","$401,879",7.0
888,Stolen Kisses,"$350,000 (estimated)",$509,7.5
889,O Lucky Man!,,,7.6
890,12 Monkeys,"$29,000,000 (estimated)","$168,839,459",8.0
891,Curious George,"$50,000,000 (estimated)","$69,865,924",6.5
892,They Won't Believe Me,,,7.2
893,Race to Witch Mountain,"$65,000,000 (estimated)","$106,387,141",5.7
894,Life or Something Like It,"$40,000,000 (estimated)","$16,872,671",5.8
895,Paranoid (TV Mini Serie,,,6.6
896,Bandslam,"$20,000,000 (estimated)","$12,225,023",6.3
897,Vanya on 42nd Street,,"$1,746,050",7.3
898,Love and Lemons,,"$1,786,541",6.0
899,Hannah Takes the Stairs,,"$26,923",5.6
900,Fruitvale Station,"$900,000 (estimated)","$17,385,830",7.5
901,Mary and Max,"A$8,240,000 (estimated)","$1,740,625",8.1
902,Bloodsucking Bastards,,,5.7
903,"Faraway, So Close!","$10,500,000 (estimated)","$810,455",7.2
904,Return of the Living Dead II,"$6,200,000 (estimated)","$9,205,924",5.7
905,I Melt with You,,"$16,232",5.9
